ajbh,zjqkje,zjshje,zjzxqke,zjyhlx,ywy0,PromisedJe,hsl,age,gender
151008D-09223,0.000684561070659,0.00588475195822,0.0,0.0,zz19,0.0,1.0,0.148148148148,0.0
151008D-09297,0.00183693054656,0.0,0.00183693054656,0.0,zz19,0.0,0.0,0.5,0.5
151008D-09331,0.000307433787245,0.0,0.000307433787245,0.0,zz19,0.0,0.0,0.388888888889,0.0
151008D-09355,0.00654270854561,0.0,0.00654270854561,0.0,zz19,0.0,0.0,0.333333333333,0.5
151008D-09377,0.0191477185816,0.0,0.0191477185816,0.0,zz17,0.0,0.0,0.259259259259,0.5
151008D-09397,0.00694678867854,0.0,0.00694678867854,0.0,zz19,0.0,0.0,0.296296296296,0.5
160105F-09419,0.0135127445884,0.0,0.0135127445884,0.0,wh11,0.0,0.0,0.388888888889,0.5
150908B-00686,0.0353436658097,0.0,0.0353436658097,0.0,sjz07,0.0,0.0,0.537037037037,0.5
150908B-05314,0.00546349506851,0.0,0.00546349506851,0.0,zz14,0.0,0.0,0.555555555556,0.5
150908B-01788,0.0236340225097,0.0,0.0236340225097,0.0,yc13,0.0,0.0,0.481481481481,0.5
151008D-04297,0.00286855587331,0.0,0.00286855587331,0.0,cq29,0.0,0.0,0.314814814815,0.5
160105F-08291,0.00612223315894,0.0526290861619,0.0,0.0,zz14,0.0,1.0,0.0925925925926,0.5
150908B-04986,0.00612742083834,0.0,0.00612742083834,0.0,zz14,0.0,0.0,0.12962962963,0.5
150908B-05001,0.0199364949072,0.0,0.0199364949072,0.0,zz14,0.0,0.0,0.351851851852,0.5
160105F-08298,0.00242615130324,0.0,0.00242615130324,0.0,zz14,0.0,0.0,0.12962962963,0.5
150908B-08320,0.0204995221352,0.0,0.0204995221352,0.0,cd59,0.0,0.0,0.277777777778,0.5
150908B-05037,0.0102538735488,0.0,0.0102538735488,0.0,zz19,0.0,0.0,0.314814814815,0.0
150908B-08864,0.0194478750387,0.0,0.0194478750387,0.0,cd59,0.0,0.0,0.407407407407,0.5
151008D-04592,0.00383422963656,0.0,0.00383422963656,0.0,hk17,0.0,0.0,0.462962962963,0.5
150908B-00569,0.0399868575549,0.0,0.0399868575549,0.0,sjz07,0.0,0.0,0.37037037037,0.5
151008D-04628,0.00226469541248,0.0,0.00226469541248,0.0,hk17,0.0,0.0,0.351851851852,0.5
150908B-08887,0.0119677455365,0.0,0.0119677455365,0.0,cd59,0.0,0.0,0.166666666667,0.5
150908B-08892,0.0220598230189,0.0,0.0220598230189,0.0,cd59,0.0,0.0,0.333333333333,0.5
150908B-08900,0.00224672077157,0.0,0.00224672077157,0.0,cd59,0.0,0.0,0.351851851852,0.5
160105F-09812,0.0070749012763,0.0,0.0070749012763,0.0,wh11,0.0,0.0,0.277777777778,0.5
151207J-01403,0.00641627252807,0.0551567624021,0.0,0.0,sjz19,0.0,1.0,0.222222222222,0.0
150908B-01579,0.0187997127678,0.0,0.0187997127678,0.0,yc10,0.0,0.0,0.203703703704,0.5
151008D-04819,0.023400279283,0.0,0.023400279283,0.0,nc69,0.0,0.0,0.444444444444,0.5
151008D-04838,0.000642464328007,0.0,0.000642464328007,0.0,nc69,0.0,0.0,0.259259259259,0.0
151207J-04231,0.000649030933895,0.0,0.000649030933895,0.0,jn29,0.0,0.0,0.259259259259,0.5
151008D-04842,0.0070543327957,0.0,0.0070543327957,0.0,nc69,0.0,0.0,0.185185185185,0.5
150908B-08374,0.00100147725549,0.0,0.00100147725549,0.0,cd59,0.0,0.0,0.518518518519,0.5
151008D-02149,0.0182369345971,0.0,0.0182369345971,0.0,hk17,0.0,0.0,0.222222222222,0.5
150706B-03058,0.00403718088794,0.0,0.00403718088794,0.0,LZ16,0.0,0.0,0.259259259259,0.5
